Name,,r,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,,r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",,r,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,,r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))"
Unit,,考,,,,,,,,,,,,,,考,,考,,考,,考,,考,,考,,,考,,,,,,,,,,,,,,考,,考,,考,,考,,考,,考,
Note,"耳_TC=10^-3.5, p_d=10^-3.0, Simulation",,t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而,"耳_TC=10^-3.5, p_d=10^-3.0, Theory",t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而,"耳_TC=10^-2.0, p_d=10^-5.0, Simulation",,t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而,"耳_TC=10^-2.0, p_d=10^-5.0, Theory",t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而
,,0.85,-1.89041,0.00754,-2.71685,0.02945,-3.0602,0.01125,-4.7295,0.26558,NaN,NaN,NaN,NaN,,0.80001,-1.82016,1.20001,-2.82791,1.60001,-3.2756,4.80001,-4.77247,8.00001,-5.81135,12.00001,-6.26437,,0.85,-1.48461,0.0146,-2.10753,0.04371,-2.31965,0.05198,-3.01193,0.10645,-4.22454,0.35132,NaN,NaN,,0.80001,-1.4356,1.20001,-2.10519,1.60001,-2.30425,2.80001,-3.29484,4.40001,-4.4043,5.20001,-4.86065
,,0.95,-1.90957,0.00521,-2.71377,0.02948,-3.07129,0.01716,-4.73227,0.15955,NaN,NaN,NaN,NaN,,0.90001,-1.8357,1.35001,-2.83499,1.80001,-3.2819,5.40001,-4.77815,9.00001,-5.81451,13.50001,-6.26792,,0.95,-1.51463,0.01497,-2.11359,0.04439,-2.33596,0.06076,-3.02858,0.11486,-4.2885,0.29047,NaN,NaN,,0.90001,-1.46625,1.35001,-2.12993,1.80001,-2.34094,3.15001,-3.33013,4.95001,-4.41354,5.85001,-4.86669
,,1.05,-1.92835,0.00684,-2.73185,0.02863,-3.08238,0.01266,-4.78887,0.33509,NaN,NaN,NaN,NaN,,1.00001,-1.85308,1.50001,-2.84292,2.00001,-3.28895,6.00001,-4.78449,10.00001,-5.81803,15.00001,-6.27189,,1.05,-1.55055,0.01649,-2.12385,0.04285,-2.34192,0.06707,-3.02513,0.13827,-4.31603,0.29825,NaN,NaN,,1.00001,-1.5005,1.50001,-2.15754,2.00001,-2.38177,3.50001,-3.36711,5.50001,-4.42384,6.50001,-4.87344
,,1.15,-1.95433,0.00306,-2.73748,0.0243,-3.09103,0.01497,-4.72668,0.41316,NaN,NaN,NaN,NaN,,1.10001,-1.87227,1.65001,-2.85167,2.20001,-3.29674,6.60001,-4.79151,11.00001,-5.82193,16.50001,-6.27628,,1.15,-1.5868,0.01471,-2.13775,0.04675,-2.35306,0.07075,-3.02882,0.1239,-4.32844,0.36503,NaN,NaN,,1.10001,-1.53836,1.65001,-2.18802,2.20001,-2.42666,3.85001,-3.4054,6.05001,-4.43521,7.15001,-4.88089
,,1.25,-1.97293,0.0056,-2.74672,0.02094,-3.11933,0.01401,-4.66614,0.24031,NaN,NaN,NaN,NaN,,1.20001,-1.8933,1.80001,-2.86126,2.40001,-3.30527,7.20001,-4.79919,12.00001,-5.8262,18.00001,-6.28108,,1.25,-1.63035,0.01476,-2.15039,0.04428,-2.36306,0.05992,-3.03912,0.13363,-4.58541,0.69236,NaN,NaN,,1.20001,-1.5798,1.80001,-2.22133,2.40001,-2.47555,4.20001,-3.44474,6.60001,-4.44763,7.80001,-4.88904
,,1.35,-1.99005,0.00782,-2.75401,0.0252,-3.12885,0.03743,-4.70799,0.30901,NaN,NaN,NaN,NaN,,1.30001,-1.91615,1.95001,-2.87168,2.60001,-3.31455,7.80001,-4.80755,13.00001,-5.83084,19.50001,-6.2863,,1.35,-1.67475,0.01341,-2.16564,0.04091,-2.37031,0.0578,-3.03251,0.11265,-4.65608,0.77606,NaN,NaN,,1.30001,-1.62484,1.95001,-2.25748,2.60001,-2.52833,4.55001,-3.48496,7.15001,-4.4611,8.45001,-4.8979
,,1.45,-2.00876,0.01283,-2.75867,0.0091,-3.13029,0.03762,-4.62838,0.31078,NaN,NaN,NaN,NaN,,1.40001,-1.94083,2.10001,-2.88294,2.80001,-3.32456,8.40001,-4.81657,14.00001,-5.83585,21.00001,-6.29194,,1.45,-1.72261,0.01019,-2.18524,0.04188,-2.38274,0.05118,-3.04088,0.11418,-4.57416,0.69808,NaN,NaN,,1.40001,-1.67347,2.10001,-2.29644,2.80001,-2.58491,4.90001,-3.52597,7.70001,-4.47561,9.10001,-4.90746
,,1.55,-2.03535,0.0086,-2.77582,0.00889,-3.12931,0.02997,-4.72368,0.22183,NaN,NaN,NaN,NaN,,1.50001,-1.96734,2.25001,-2.89503,3.00001,-3.33532,9.00001,-4.82626,15.00001,-5.84124,22.50001,-6.29799,,1.55,-1.77206,0.00912,-2.20716,0.0376,-2.39152,0.05059,-3.05532,0.10605,-4.61983,0.79488,NaN,NaN,,1.50001,-1.72568,2.25001,-2.33818,3.00001,-2.64515,5.25001,-3.56777,8.25001,-4.49115,9.75001,-4.91773
,,1.65,-2.06396,0.01185,-2.77819,0.00417,-3.13899,0.03251,-4.75454,0.26832,NaN,NaN,NaN,NaN,,1.60001,-1.99567,2.40001,-2.90795,3.20001,-3.34682,9.60001,-4.83661,16.00001,-5.84699,24.00001,-6.30447,,1.65,-1.82943,0.0086,-2.22647,0.03836,-2.40768,0.04656,-3.05945,0.10172,-4.69426,0.98024,NaN,NaN,,1.60001,-1.78148,2.40001,-2.38269,3.20001,-2.70891,5.60001,-3.61036,8.80001,-4.50772,10.40001,-4.92869
,,1.75,-2.09255,0.01261,-2.79465,0.00965,-3.14117,0.01252,-4.62506,0.22088,NaN,NaN,NaN,NaN,,1.70001,-2.02583,2.55001,-2.92171,3.40001,-3.35906,10.20001,-4.84764,17.00001,-5.85312,25.50001,-6.31136,,1.75,-1.88743,0.00792,-2.2456,0.03557,-2.42324,0.047,-3.07745,0.10182,-4.71806,1.09583,NaN,NaN,,1.70001,-1.84086,2.55001,-2.42992,3.40001,-2.77603,5.95001,-3.65379,9.35001,-4.52531,11.05001,-4.94035
